"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WA829G64","journalArticle","2023","Sharma, Ashima; Patrikar, Jay; Moon, Brady; Scherer, Sebastian; Samaras, Constantine","Quantifying the Effect of Weather on Advanced Air Mobility Operations","Findings","","","","https://findingspress.org/article/66207-quantifying-the-effect-of-weather-on-advanced-air-mobility-operations","","2023","2024-09-14 19:23:48","2024-09-21 00:02:52","2024-09-14 19:23:18","","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Findings Press","","/Users/jaypatrikar/Zotero/storage/7FWYGMJE/66207-quantifying-the-effect-of-weather-on-advanced-air-mobility-operations.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FT3B7VV4","journalArticle","2022","Rodrigues, Thiago A.; Patrikar, Jay; Oliveira, Natalia L.; Matthews, H. Scott; Scherer, Sebastian; Samaras, Constantine","Drone flight data reveal energy and greenhouse gas emissions savings for very small package delivery","Patterns","","","","https://www.cell.com/patterns/fulltext/S2666-3899(22)00180-5","","2022","2024-09-14 19:23:48","2024-09-21 00:02:35","2024-09-14 19:23:24","","","8","3","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","/Users/jaypatrikar/Zotero/storage/KIKTYH2D/S2666-3899(22)00180-5.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7KBIC6D","preprint","2021","Ho, Cherie; Patrikar, Jay; Bonatti, Rogerio; Scherer, Sebastian","Adaptive Safety Margin Estimation for Safe Real-Time Replanning under Time-Varying Disturbance","","","","","http://arxiv.org/abs/2110.03119","Safe navigation in real-time is challenging because engineers need to work with uncertain vehicle dynamics, variable external disturbances, and imperfect controllers. A common safety strategy is to inflate obstacles by hand-defined margins. However, arbitrary static margins often fail in more dynamic scenarios, and using worst-case assumptions is overly conservative for most settings where disturbances over time. In this work, we propose a middle ground: safety margins that adapt on-the-fly. In an offline phase, we use Monte Carlo simulations to pre-compute a library of safety margins for multiple levels of disturbance uncertainties. Then, at runtime, our system estimates the current disturbance level to query the associated safety margins that best trades off safety and performance. We validate our approach with extensive simulated and real-world flight tests. We show that our adaptive method significantly outperforms static margins, allowing the vehicle to operate up to 1.5 times faster than worst-case static margins while maintaining safety. Video: https://youtu.be/SHzKHSUjdUU","2021-10-06","2024-09-14 19:23:48","2024-09-21 00:02:25","2024-09-14 19:23:26","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2110.03119 [cs]","","/Users/jaypatrikar/Zotero/storage/PL74E5RT/Ho et al. - 2021 - Adaptive Safety Margin Estimation for Safe Real-Time Replanning under Time-Varying Disturbance.pdf; /Users/jaypatrikar/Zotero/storage/QSTBBH3Q/2110.html","","","Computer Science - Robotics","","","","","","","","","","","","","","","","","","","arXiv:2110.03119","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EA8584I","conferencePaper","2022","Patrikar, Jay; Moon, Brady; Oh, Jean; Scherer, Sebastian","Predicting like a pilot: Dataset and method to predict socially-aware aircraft trajectories in non-towered terminal airspace","2022 international conference on robotics and automation (icra)","","","","https://ieeexplore.ieee.org/abstract/document/9811972/","","2022","2024-09-14 19:23:48","2024-09-21 00:02:51","2024-09-14 19:23:27","2525–2531","","","","","","Predicting like a pilot","","","","","IEEE","","","","","","","Google Scholar","","","","/Users/jaypatrikar/Zotero/storage/DBPQE54J/Patrikar et al. - 2022 - Predicting like a pilot Dataset and method to predict socially-aware aircraft trajectories in non-t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCKACYBA","journalArticle","2021","Rodrigues, Thiago A.; Patrikar, Jay; Choudhry, Arnav; Feldgoise, Jacob; Arcot, Vaibhav; Gahlaut, Aradhana; Lau, Sophia; Moon, Brady; Wagner, Bastian; Matthews, H. Scott","In-flight positional and energy use data set of a DJI Matrice 100 quadcopter for small package delivery","Scientific Data","","","","https://www.nature.com/articles/s41597-021-00930-x","","2021","2024-09-14 19:23:48","2024-09-21 00:02:47","2024-09-14 19:23:33","155","","1","8","","","","","","","","","","","","","","","Google Scholar","","Publisher: Nature Publishing Group UK London","","/Users/jaypatrikar/Zotero/storage/P6SGCP8H/s41597-021-00930-x.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBCZ6VLL","conferencePaper","2021","Choudhry, Arnav; Moon, Brady; Patrikar, Jay; Samaras, Constantine; Scherer, Sebastian","Cvar-based flight energy risk assessment for multirotor uavs using a deep energy model","2021 IEEE International Conference on Robotics and Automation (ICRA)","","","","https://ieeexplore.ieee.org/abstract/document/9561658/","","2021","2024-09-14 19:23:48","2024-09-21 00:02:32","2024-09-14 19:23:36","262–268","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","/Users/jaypatrikar/Zotero/storage/XR83IRNM/Choudhry et al. - 2021 - Cvar-based flight energy risk assessment for multirotor uavs using a deep energy model.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARGMS6NY","conferencePaper","2020","Patrikar, Jay; Moon, Brady G.; Scherer, Sebastian","Wind and the city: Utilizing uav-based in-situ measurements for estimating urban wind fields","2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","","","https://ieeexplore.ieee.org/abstract/document/9340812/","","2020","2024-09-14 19:23:48","2024-09-21 00:03:01","2024-09-14 19:23:39","1254–1260","","","","","","Wind and the city","","","","","IEEE","","","","","","","Google Scholar","","","","/Users/jaypatrikar/Zotero/storage/2AZB9A3Z/Patrikar et al. - 2020 - Wind and the city Utilizing uav-based in-situ measurements for estimating urban wind fields.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLFD4L4B","conferencePaper","2020","Patrikar, Jay; Dugar, Vishal; Arcot, Vaibhav; Scherer, Sebastian","Real-time motion planning of curvature continuous trajectories for urban UAV operations in wind","2020 International Conference on Unmanned Aircraft Systems (ICUAS)","","","","https://ieeexplore.ieee.org/abstract/document/9213837/","","2020","2024-09-14 19:23:48","2024-09-21 00:02:54","2024-09-14 19:23:42","854–861","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSNA8DA2","thesis","2020","Patrikar, Jay","Wind-Field Estimation and Curvature Continuous Path Planning for Low Altitude Urban Aerial Mobility","","","","","https://www.academia.edu/download/76840221/Jay_MSR_Thesis-2.pdf","","2020","2024-09-14 19:23:48","2024-09-21 00:03:01","2024-09-14 19:23:45","","","","","","","","","","","","Carnegie Mellon University Pittsburgh, PA","","","","PhD Thesis","","","Google Scholar","","","","/Users/jaypatrikar/Zotero/storage/L8WY4H3Q/Patrikar - 2020 - Wind-Field Estimation and Curvature Continuous Path Planning for Low Altitude Urban Aerial Mobility.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSL4R3E7","journalArticle","2020","Rodrigues, T. A.; Patrikar, J.; Choudhry, A.; Feldgoise, J.; Arcot, V.; Gahlaut, A.; Lau, S.; Moon, B.; Wagner, B.; Matthews, H. Scott","Data collected with package delivery quadcopter drone","Carnegie Mellon University","","","","https://scholar.google.com/scholar?cluster=13743899756807667448&hl=en&oi=scholarr","","2020","2024-09-14 19:23:48","2024-09-21 00:02:42","2024-09-14 19:23:48","1–15","","","","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQ97R4TV","preprint","2024","Patrikar, Jay; Veer, Sushant; Sharma, Apoorva; Pavone, Marco; Scherer, Sebastian","RuleFuser: An Evidential Bayes Approach for Rule Injection in Imitation Learned Planners and Predictors for Robustness under Distribution Shifts","","","","","http://arxiv.org/abs/2405.11139","Modern motion planners for autonomous driving frequently use imitation learning (IL) to draw from expert driving logs. Although IL benefits from its ability to glean nuanced and multi-modal human driving behaviors from large datasets, the resulting planners often struggle with out-of-distribution (OOD) scenarios and with traffic rule compliance. On the other hand, classical rule-based planners, by design, can generate safe traffic rule compliant behaviors while being robust to OOD scenarios, but these planners fail to capture nuances in agent-to-agent interactions and human drivers' intent. RuleFuser, an evidential framework, combines IL planners with classical rule-based planners to draw on the complementary benefits of both, thereby striking a balance between imitation and safety. Our approach, tested on the real-world nuPlan dataset, combines the IL planner's high performance in in-distribution (ID) scenarios with the rule-based planners' enhanced safety in out-of-distribution (OOD) scenarios, achieving a 38.43% average improvement on safety metrics over the IL planner without much detriment to imitation metrics in OOD scenarios.","2024-09-16","2024-09-20 23:54:08","2024-09-20 23:54:08","2024-09-20 23:52:55","","","","","","","RuleFuser","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2405.11139 [cs]","","/Users/jaypatrikar/Zotero/storage/5KWBSPU6/Patrikar et al. - 2024 - RuleFuser An Evidential Bayes Approach for Rule Injection in Imitation Learned Planners and Predict.pdf; /Users/jaypatrikar/Zotero/storage/DL97MZT6/2405.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Computer Science - Robotics","","","","","","","","","","","","","","","","","","","arXiv:2405.11139","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DH3QHJXL","conferencePaper","2019","Patrikar, Jay; Makkapati, Venkata Ramana; Kothari, Mangal","Sequential Auto-Landing of Multiple UAVs using Control Constrained Path Following","AIAA Scitech 2019 Forum","978-1-62410-578-4","","10.2514/6.2019-0386","https://arc.aiaa.org/doi/10.2514/6.2019-0386","","2019-01-07","2024-09-20 23:54:08","2024-09-20 23:54:08","2024-09-20 23:53:53","","","","","","","","","","","","American Institute of Aeronautics and Astronautics","San Diego, California","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AIAA Scitech 2019 Forum","","","","","","","","","","","","","","",""
"83V6KKIL","journalArticle","2019","Patrikar, Jay; Makkapati, Venkata Ramana; Pattanaik, Anay; Parwana, Hardik; Kothari, Mangal","Nested saturation based guidance law for unmanned aerial vehicles","Journal of Dynamic Systems, Measurement, and Control","","","","https://asmedigitalcollection.asme.org/dynamicsystems/article-abstract/141/7/071008/726490","","2019","2024-09-20 23:54:08","2024-09-20 23:54:08","2024-09-20 23:53:56","071008","","7","141","","","","","","","","","","","","","","","Google Scholar","","Publisher: American Society of Mechanical Engineers","","/Users/jaypatrikar/Zotero/storage/TMITD3MS/Patrikar et al. - 2019 - Nested saturation based guidance law for unmanned aerial vehicles.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZTZAPK4","conferencePaper","2018","Dwivedi, Vijay Shankar; Patrikar, Jay; Addamane, Amulya; Ghosh, A. K.","MARAAL: A low altitude long endurance solar powered UAV for surveillance and mapping applications","2018 23rd International Conference on Methods & Models in Automation & Robotics (MMAR)","","","","https://ieeexplore.ieee.org/abstract/document/8485805/","","2018","2024-09-20 23:54:08","2024-09-20 23:54:08","2024-09-20 23:54:02","449–454","","","","","","MARAAL","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4G2ZD8JQ","conferencePaper","2018","Sinha, Harsh; Patrikar, Jay; Dhekane, Eeshan Gunesh; Pandey, Gaurav; Kothari, Mangal","Convolutional neural network based sensors for mobile robot relocalization","2018 23rd International Conference on Methods & Models in Automation & Robotics (MMAR)","","","","https://ieeexplore.ieee.org/abstract/document/8485921/","","2018","2024-09-20 23:54:08","2024-09-20 23:54:08","2024-09-20 23:54:05","774–779","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWLXHKS9","conferencePaper","2018","Parwana, Hardik; Patrikar, Jay S.; Kothari, Mangal","A Novel Fully Quaternion based Nonlinear Attitude and Position Controller","2018 AIAA Guidance, Navigation, and Control Conference","978-1-62410-526-5","","10.2514/6.2018-1587","https://arc.aiaa.org/doi/10.2514/6.2018-1587","","2018-01-08","2024-09-20 23:54:08","2024-09-20 23:54:08","2024-09-20 23:54:05","","","","","","","","","","","","American Institute of Aeronautics and Astronautics","Kissimmee, Florida","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 AIAA Guidance, Navigation, and Control Conference","","","","","","","","","","","","","","",""
"K3W6AZBQ","conferencePaper","2018","Bhargavapuri, Mahathi; Patrikar, Jay; Sahoo, Soumya Ranjan; Kothari, Mangal","A low-cost tilt-augmented quadrotor helicopter: Modeling and control","2018 international conference on unmanned aircraft systems (ICUAS)","","","","https://ieeexplore.ieee.org/abstract/document/8453376/","","2018","2024-09-20 23:54:08","2024-09-20 23:54:08","2024-09-20 23:54:08","186–194","","","","","","A low-cost tilt-augmented quadrotor helicopter","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
